incident_id,article_url,domain
144,"https://www.mtlblog.com/news/statue-of-canadas-racist-first-prime-minister-was-removed-and-replaced-by-a-plaque-that-has-already-been-vandalized 
https://nationalpost.com/news/politics/plaque-replacing-sir-john-a-macdonald-statue-defaced-victoria-keeping-monument",mtlblog.com
145,https://www.cbc.ca/news/politics/iqra-khalid-anti-semitism-1.4787956,cbc.ca
146,https://www.thestar.com/news/canada/2018/08/13/alberta-doctor-being-investigated-for-alleged-racist-comments-towards-indigenous-people.html,thestar.com
147,https://www.cbc.ca/news/politics/maxime-bernier-extreme-multiculturalism-1.4783325,cbc.ca
148,https://globalnews.ca/news/4384597/racial-slurs-shouted-during-brawl-at-peterborough-park/,globalnews.ca
149,http://www.cjnews.com/news/canada/jdl-canada-leader-threatened-after-opposing-white-nationalist-rally,cjnews.com
150,https://www.cbc.ca/news/canada/nova-scotia/racist-graffiti-sprayed-on-halifax-elementary-school-1.4782597,cbc.ca
151,https://www.cbc.ca/news/canada/hamilton/brock-university-strips-former-prof-s-emeritus-status-after-abhorrent-posts-1.4794293,cbc.ca
152,https://www.cbc.ca/news/canada/calgary/a-w-cardston-racism-1.4782352,cbc.ca
153,https://www.cbc.ca/news/politics/conservative-senator-apologizes-liberal-mp-tweet-1.4779161,cbc.ca
154,https://globalnews.ca/news/4377793/former-right-wing-extremist-racist-graffiti-chilliwack-viral-tweet/,globalnews.ca
155,"http://www.cjnews.com/news/canada/nationalist-rally-planned-in-toronto-on-the-anniversary-of-the-charlottesville-attack 
https://www.thestar.com/news/gta/2018/08/09/anti-islam-group-postpones-rally-at-nathan-phillips-square.html",cjnews.com
156,https://www.thestar.com/vancouver/2018/08/06/canadian-anti-immigrant-group-exploits-local-divisions-to-gain-legitimacy-says-expert.html,thestar.com
157,https://www.niagarafallsreview.ca/news-story/8804669-updated-peterborough-race-relations-queer-collective-offices-trashed/,niagarafallsreview.ca
158,https://globalnews.ca/news/4397026/trudeau-calls-out-woman-racism/,globalnews.ca
159,https://www.ctvnews.ca/canada/woman-who-hurled-racist-insults-at-edmonton-man-won-t-apologize-1.4061392,ctvnews.ca
160,https://thestarphoenix.com/news/local-news/indigenous-slo-pitch-team-reports-racist-comments-at-tournament,thestarphoenix.com
161,https://globalnews.ca/news/4396380/every-time-they-come-back-well-be-back-citizens-shut-down-national-citizens-alliance-rally-in-dartmouth/,globalnews.ca
162,https://www.cbc.ca/news/canada/north/emaciated-polar-bear-response-1.4788259,cbc.ca
163,https://www.theglobeandmail.com/canada/article-montreals-sir-john-a-macdonald-statue-vandalized-with-a-vengeance/,theglobeandmail.com
164,https://calgaryherald.com/pmn/news-pmn/canada-news-pmn/three-charged-in-hate-motivated-crime-after-symbols-drawn-on-school-police/wcm/f6154281-00d5-4de5-8123-73884af5c495,calgaryherald.com
165,https://www.stratfordbeaconherald.com/news/local-news/stratford-residents-respond-to-recent-hate-crimes-with-impromptu-demonstration-at-city-hall,stratfordbeaconherald.com
166,https://www.cbc.ca/news/canada/montreal/pq-candidate-under-fire-for-racism-pedophile-accusations-on-twitter-1.4805505,cbc.ca
167,https://globalnews.ca/news/4420159/victim-of-racist-exchange-at-edmonton-supermarket-recorded-video-to-raise-awareness-of-islamophobia/,globalnews.ca
168,https://edmonton.ctvnews.ca/woman-recorded-in-racist-tirade-facing-charges-1.4108698,ctvnews.ca
169,https://www.cbc.ca/news/canada/british-columbia/agassiz-rcmp-fishermen-harassment-1.4803129,cbc.ca
170,https://www.cbc.ca/news/canada/kitchener-waterloo/stratford-festival-police-hate-crime-david-collins-1.4802196,cbc.ca
171,https://www.ctvnews.ca/canada/restaurant-owner-apologizes-for-thoughtless-and-unacceptable-instagram-post-1.4072773,ctvnews.ca
172,https://www.cbc.ca/news/canada/edmonton/ucp-fort-mcmurray-muslims-1.4813877?cmp=rss,cbc.ca
173,https://www.cbc.ca/news/canada/edmonton/fort-mcmurray-alberta-party-racial-slur-mandell-sid-fayad-1.4737799,cbc.ca
174,https://globalnews.ca/news/4474030/no-charges-alleged-racial-slur-ottawa/,globalnews.ca
175,https://www.cbc.ca/news/canada/edmonton/alberta-curriculum-indigenous-residential-schools-1.4832419,cbc.ca
176,https://www.cbc.ca/news/canada/sudbury/police-brawl-racism-manitoulin-m-chigeeng-student-1.4830883,cbc.ca
177,https://www.ctvnews.ca/canada/ontario-town-rejects-bid-to-remove-statue-of-confederate-army-doctor-1.4099745,ctvnews.ca
178,https://www.cbc.ca/news/canada/montreal/quebec-solidaire-dental-care-poster-1.4821889,cbc.ca
179,https://www.scmp.com/news/world/united-states-canada/article/2164336/protests-and-fears-anti-immigrant-backlash-marrisa,scmp.com
180,https://www.ctvnews.ca/canada/swastikas-spray-painted-in-park-on-school-in-dartmouth-n-s-1.4086409,ctvnews.ca
181,https://www.thestar.com/news/canada/2018/09/07/first-nation-demands-inquiry-into-violence-linked-to-hydro-development.html,thestar.com
182,https://www.cbc.ca/news/canada/montreal/legault-says-woman-claiming-immigrants-are-erasing-quebec-was-close-to-racist-1.4843602,cbc.ca
183,https://www.thestar.com/news/gta/2018/09/26/crown-calls-one-year-jail-sentence-unfit-after-judge-takes-anti-black-racism-into-account.html,thestar.com
184,https://www.ctvnews.ca/canada/it-disgusts-me-outrage-after-racist-letter-sent-to-asian-realtor-in-b-c-1.4109531,ctvnews.ca
185,https://www.cbc.ca/news/canada/manitoba/keeseekoowenin-ojibway-first-nation-human-rights-tribunal-1.4839989,cbc.ca
186,"https://www.cbc.ca/news/canada/manitoba/thompson-mayoral-candidate-racist-comments-1.4837150 
https://www.cbc.ca/news/canada/manitoba/thompson-mayor-racist-posts-withdraws-1.4838577",cbc.ca
187,"https://pressprogress.ca/doug-ford-stands-behind-this-photo-he-took-with-a-group-of-extremely-racist-white-nationalists/ 
https://www.huffingtonpost.ca/2018/09/24/doug-ford-refuses-to-denounce-white-nationalist-he-posed-with-at-bbq_a_23540529/",pressprogress.ca
188,http://dailyhive.com/montreal/graffiti-removal-group-erases-defaces-muslim-election-poster,dailyhive.com
189,https://www.cbc.ca/news/canada/edmonton/female-prison-warden-lawsuit-corrections-canada-1.4845069,cbc.ca
190,https://www.ctvnews.ca/canada/racism-a-right-wing-value-b-c-teacher-criticized-for-political-worksheet-1.4120976,ctvnews.ca
191,https://www.cbc.ca/news/canada/nova-scotia/nail-gun-shooting-racism-pictou-county-construction-site-1.4844667,cbc.ca
192,https://montrealgazette.com/news/local-news/as-furor-grows-over-caq-hijab-ban-anti-racism-protest-set-for-sunday,montrealgazette.com
193,https://www.ctvnews.ca/canada/edmonton-police-apologize-for-describing-girl-as-mulatto-in-amber-alert-1.4124507,ctvnews.ca
194,https://montrealgazette.com/news/local-news/montreal-the-moment/montreals-john-a-macdonald-statue-spray-painted-by-activists,montrealgazette.com
195,https://www.cbc.ca/news/canada/british-columbia/union-gore-vancouver-1.4853062,cbc.ca
196,https://www.cbc.ca/news/canada/montreal/anti-racist-demonstration-montreal-1.4854245,cbc.ca
197,https://www.ctvnews.ca/canada/ucp-rejects-hate-after-soldiers-of-odin-pose-for-pics-at-party-pub-night-1.4125085 https://www.cbc.ca/news/canada/edmonton/notley-wants-kenney-to-take-stand-against-hate-groups-1.4855795,ctvnews.ca
198,https://www.theglobeandmail.com/canada/article-cindy-gladue-hearing-to-shine-spotlight-on-questions-about-racism-in/,theglobeandmail.com
199,https://www.theglobeandmail.com/canada/toronto/article-public-safety-policing-and-racism-at-the-forefront-of-fight-for/,theglobeandmail.com
200,https://www.cbc.ca/news/canada/nova-scotia/anti-racism-rally-new-glasgow-nail-gun-shooting-dlamini-1.4854924,cbc.ca
201,https://nationalpost.com/news/canada/reserve-force-commanders-dumped-racial-incidents-alleged-army-units-in-ontario-dealing-with-crisis-in-leadership,nationalpost.com
202,https://nationalpost.com/news/canada/far-right-fringe-candidate-in-toronto-mayoral-race-sues-bell-for-refusing-to-air-her-campaign-ad,nationalpost.com
203,https://www.cbc.ca/news/canada/hamilton/sgro-afro-canadian-1.4856566,cbc.ca
