Incident ID,Article URL,Incident Description,Publication Date,Incident Date,Pub Date Minus Incident Date,Province,City or Region,Detailed Location,Incident Category,Gender of Victim(s),Name of Victim(s),Ethnic Community,Black/African/Caribbean,Central Asian,East Asian,Indigenous,Latin American,Middle Eastern,South Asian,Southeast Asian,Identity-Based,Context,Type of Incident,Previous Tags,Needs Review,D4G Notes,CCMF Notes,Status
44,http://www.cbc.ca/news/canada/british-columbia/minor-hockey-racism-1.4558136,Racism crosses the line': Hockey mom raises alarm after son called N-word on ice,2018-03-01,2018-03-01,0,British Columbia,Kamloops,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,Sports: Hockey,,NC; race relations; anti-black; Kamloops,,,,
45,http://torontosun.com/news/local-news/warmington-two-sides-to-traffic-stop-of-tv-host-marci-ien,WARMINGTON: Two sides to traffic stop of TV host Marci Ien,2018-03-02,2018-03-02,0,Ontario,Toronto,,,,,Black/African/Caribbean,,,,,,,,,,Protective services: Police,,Allegations against police; race relations; anti-black; Toronto,,,,
46,http://www.cbc.ca/news/canada/manitoba/mom-speaks-out-says-racist-kids-bullied-family-1.4571816?cmp=rss,Indigenous mom of 2 says racist taunts aimed at her family during kids' 1st trip to Winnipeg,2018-03-13,2018-03-13,0,Manitoba,Winnipeg,,Non-Criminal,,,Indigenous,,,,,,,,,,,,NC; race relations; anti-indigenous; Winnipeg,,,,
47,https://www.thestar.com/news/canada/2018/03/23/black-janitors-allege-racial-discrimination-plan-to-file-human-rights-complaint.html,"Black janitors allege racial discrimination, plan to file human rights complaint",2018-03-23,2018-03-24,-1,Ontario,Toronto,,,,,Black/African/Caribbean,,,,,,,,,,,,Human Rights Case; race relations; anti-black; Toronto,,,,
48,http://www.voiceonline.com/wsos-open-letter-to-postmedia-ceo-paul-godfrey-on-coverage-of-sikh-canadians/,WSO’s open letter to Postmedia CEO Paul Godfrey on coverage of Sikh Canadians,,2018-03-24,,Ontario,Ottawa,,Non-Criminal,,,,,,,,,,,,Religious discrimination: Anti-Sikhism,,,NC; race relations; anti-sikh; Ottawa,,,,
49,http://www.cbc.ca/news/canada/toronto/rock-smashed-vaughan-synagogue-hate-1.4587969,Police search for suspect after Vaughan synagogue doors smashed in 'hate-motivated' crime,2018-03-22,2018-03-22,0,Ontario,Vaughan,,,,,,,,,,,,,,Religious discrimination: Anti-Semitism,,Vandalism,Police investigation; vandalism; anti-semitism; Vaughan GTA,,,,
50,http://www.cbc.ca/news/canada/prince-edward-island/pei-john-joe-sark-wayne-easter-amherst-1.4574422,Mi'kmaq elder wants apology from MP over comments made in recent meeting,2018-03-13,2018-03-13,0,Prince Edward Island,,,Non-Criminal,,,Indigenous,,,,,,,,,,,,NC; race relations; anti-indigenous; PEI,,,,
51,http://www.cbc.ca/news/canada/saskatchewan/sask-professor-threats-whiteness-talk-1.4571723,Sask. professor receives threats over upcoming talk on 'whiteness' at Ontario university,2018-03-11,2018-03-11,0,Saskatchewan,Regina,,Non-Criminal,,,,,,,,,,,,,Educational institute: Post-secondary,,NC; race relations; anti-racism; Regina,,,,
52,http://www.cbc.ca/news/canada/ottawa/khoa-hoang-racial-discrimination-complaint-ottawa-police-1.4602578,Ottawa police officer alleges racial discrimination,2018-04-03,2018-03-03,31,Ontario,Ottawa,,,,,,,,,,,,,,,,,Human Rights Tribunal of Ontario; race relations; anti-asian; Ottawa,,,,
53,https://www.cbc.ca/news/canada/ottawa/man-assaulted-turban-stolen-westgate-mall-1.4594895,"Man's turban torn off in weekend attack, police say",2018-03-27,2018-03-27,0,Ontario,Ottawa,,,,,,,,,,,,,,Religious discrimination: Anti-Sikhism,,,Police investigation; hate crime; anti-sikh; Ottawa,,,,
54,http://www.worldbulletin.net/america-canada/200581/canadian-churches-vandalized-on-easter-sunday,Canadian churches vandalized on Easter Sunday,,2018-04-02,,Nova Scotia,Halifax,,Non-Criminal,,,,,,,,,,,,,,Vandalism,NC; vandalism/hate crime; anti-christian; Halifax,,,,
55,http://www.cbc.ca/news/canada/ottawa/racist-graffiti-gatineau-bus-shelter-swastika-1.4601290,Gatineau police investigate racist graffiti scrawled on bus shelter,2018-03-31,2018-03-31,0,Quebec,Gatineau,,,,,,,,,,,,,,Religious discrimination: Anti-Semitism,Transit,Vandalism,Police investigation; vandalism/hate crime; anti-semitism; Gatineau,,,,
57,http://www.cbc.ca/news/canada/north/tourism-ad-casting-call-racist-yukon-1.4595987,Government casting ad requesting 'Caucasian' actors deemed racist by some Yukoners,2018-03-27,2018-03-27,0,Yukon,,,Non-Criminal,,,Indigenous,,,,,,,,,,,,NC; race relations; anti-indigenous; Yukon,,,,
58,https://www.insauga.com/police-called-to-investigate-potential-hate-fuelled-incident-in-mississauga,Police Called to Investigate Potential Hate-Fuelled Incident in Mississauga,2018-03-26,2018-03-26,0,Ontario,Mississauga,,,,,,,,,,,,,,Religious discrimination: Islamophobia,,,Police investigation; hate crime; anti-muslim; Mississauga,,,,
59,https://www.huffingtonpost.ca/2018/03/26/black-janitors-fired-racism-human-rights-complaint_a_23395862/,Black Janitors Were Fired For Complaining About Alleged Racism: Union,,2018-02-26,,Nova Scotia,Halifax,,,,,Black/African/Caribbean,,,,,,,,,,,,Human Rights complaint; race relations; anti-black; Halifax,,,,
60,http://www.cbc.ca/news/canada/edmonton/alberta-health-services-treaty-indian-letter-edmonton-1.4606328,"Letter to 'Treaty Indian' a data-entry error, Alberta Health Services says",2018-04-05,2018-04-05,0,Alberta,Edmonton,,,,,Indigenous,,,,,,,,,,Healthcare/public health,,Investigation; race relations; anti-indigenous; Edmonton,,,,
