incident_id,city_or_region,province,national,detailed_location,article_url,needs_review,notes
61,Thunder Bay,Ontario,,,https://www.thestar.com/news/canada/2018/04/11/celebrated-indigenous-law-school-dean-resigns-claiming-systemic-racism.html,,
62,,Ontario,,,http://www.cbc.ca/news/canada/hamilton/ndp-miller-allegations-1.4615621,,
63,Toronto,Ontario,,,http://www.cbc.ca/news/canada/toronto/tanya-granic-allen-under-fire-for-online-comments-against-gay-marriage-muslim-dress-1.4613483,,
64,Owen Sound,Ontario,,,http://www.bayshorebroadcasting.ca/news_item.php?NewsID=100856,,
65,Calgary,Alberta,,,http://www.cbc.ca/news/canada/calgary/sikh-assault-calgary-obhrai-1.4608993,,
66,Ottawa,Ontario,,,https://www.theglobeandmail.com/politics/article-iranians-accuse-ottawa-of-discrimination-as-permanent-residency/,,
67,Halifax,Nova Scotia,,,https://www.thestar.com/news/canada/2018/04/18/nova-scotia-tory-mla-apologizes-for-comments-slammed-as-racist-and-insensitive.html,,
68,Windsor,Ontario,,,http://www.cbc.ca/news/canada/windsor/south-west-detention-centre-racism-harassment-correctional-officers-1.4623070,,
69,Winnipeg,Manitoba,,,https://winnipeg.ctvnews.ca/this-cannot-be-happening-in-canada-man-whose-dash-cam-captured-technicians-mocking-his-chinese-name-1.3891342,,
70,Winnipeg,Manitoba,,,http://www.cbc.ca/news/canada/manitoba/winnipeg-delivery-driver-confronts-customer-he-says-called-him-a-terrorist-during-verbal-attack-1.4623747,,
71,Halifax,Nova Scotia,,,http://www.cbc.ca/news/canada/nova-scotia/goalie-who-was-victim-of-racial-slur-gets-lots-of-support-1.4622793,,
72,Edmonton,Alberta,,,http://www.cbc.ca/news/canada/edmonton/edmonton-police-officer-faces-disciplinary-hearing-over-allegations-of-racism-punching-suspect-1.4620988,,
73,Ottawa,Ontario,,,http://nationalpost.com/news/politics/harjit-sajjan-orders-crackdown-as-canadian-forces-facebook-page-features-racist-vulgar-comments,,
74,Calgary,Alberta,,,https://calgary.ctvnews.ca/dozens-of-people-take-part-in-rally-on-steps-of-calgary-city-hall-1.3885445,,
75,Montreal,Quebec,,,https://www.theglobeandmail.com/canada/article-montreal-couple-preparing-human-rights-complaint-alleging-racial/,,
76,Ottawa,Ontario,,,https://www.thespec.com/opinion-story/8593347-oma-decision-about-privilege-and-racism/,,
77,Halifax,Nova Scotia,,,https://www.bet.com/news/national/2018/05/04/black-woman-humiliated-after-air-canada-kicked-her-off-flight-fo.html,,
78,Ottawa,Ontario,,,http://business.financialpost.com/news/retail-marketing/starbucks-canada-to-provide-inclusiveness-training-for-corporate-stores-offices,,
79,Ottawa,Ontario,,,https://www.theglobeandmail.com/politics/article-first-nations-chiefs-want-un-to-examine-racism-in-canadas-justice/,,
80,Saskatoon,Saskatchewan,,,https://www.theglobeandmail.com/canada/article-comedy-duo-apologizes-for-joke-criticized-as-racist-at-humboldt/,,
81,Ottawa,Ontario,,,https://www.ctvnews.ca/canada/three-teens-charged-after-racist-graffiti-found-in-ottawa-neighborhood-1.3907655,,
82,,Nova Scotia,,,https://herb.co/marijuana/news/smith-mccrossin-jamaica-nova-scotia-cannabis,,
